t,x,z,th1,th2,dth1,dth2
0.0203,2,-0.0015776,-0.0012818,0.000986,-0.126286,0.0971429
0.0204,2,-0.00159318,-0.00129446,0.000995739,-0.126908,0.0976214
0.0205,2,-0.00160884,-0.00130718,0.00100552,-0.12753,0.0980999
0.0206,2,-0.00162457,-0.00131997,0.00101536,-0.128152,0.0985785
0.0207,2,-0.00164038,-0.00133281,0.00102524,-0.128774,0.099057
0.0208,2,-0.00165627,-0.00134572,0.00103517,-0.129396,0.0995355
0.0209,2,-0.00167224,-0.00135869,0.00104515,-0.130018,0.100014
0.021,2,-0.00168828,-0.00137172,0.00105517,-0.13064,0.100493
0.0211,2,-0.00170439,-0.00138482,0.00106525,-0.131263,0.100971
0.0212,2,-0.00172059,-0.00139798,0.00107537,-0.131885,0.10145
0.0213,2,-0.00173686,-0.0014112,0.00108554,-0.132507,0.101928
0.0214,2,-0.0017532,-0.00142448,0.00109575,-0.133129,0.102407
0.0215,2,-0.00176963,-0.00143782,0.00110602,-0.133751,0.102885
0.0216,2,-0.00178613,-0.00145123,0.00111633,-0.134373,0.103364
0.0217,2,-0.0018027,-0.0014647,0.00112669,-0.134995,0.103842
0.0218,2,-0.00181936,-0.00147823,0.0011371,-0.135617,0.104321
0.0219,2,-0.00183609,-0.00149182,0.00114755,-0.136239,0.104799
0.022,2,-0.00185289,-0.00150548,0.00115806,-0.136861,0.105278
0.0221,2,-0.00186978,-0.00151919,0.00116861,-0.137484,0.105756
0.0222,2,-0.00188674,-0.00153297,0.00117921,-0.138106,0.106235
0.0223,2,-0.00190377,-0.00154681,0.00118986,-0.138728,0.106714
0.0224,2,-0.00192088,-0.00156072,0.00120055,-0.13935,0.107192
0.0225,2,-0.00193807,-0.00157468,0.0012113,-0.139972,0.107671
0.0226,2,-0.00195534,-0.00158871,0.00122209,-0.140594,0.108149
0.0227,2,-0.00197268,-0.0016028,0.00123293,-0.141216,0.108628
0.0228,2,-0.0019901,-0.00161696,0.00124381,-0.141838,0.109106
0.0229,2,-0.00200759,-0.00163117,0.00125475,-0.14246,0.109585
0.023,2,-0.00202517,-0.00164545,0.00126573,-0.143082,0.110063
0.0231,2,-0.00204281,-0.00165979,0.00127676,-0.143704,0.110542
0.0232,2,-0.00206054,-0.00167419,0.00128784,-0.144327,0.11102
0.0233,2,-0.00207834,-0.00168865,0.00129896,-0.144949,0.111499
0.0234,2,-0.00209622,-0.00170318,0.00131014,-0.145571,0.111977
0.0235,2,-0.00211417,-0.00171777,0.00132136,-0.146193,0.112456
0.0236,2,-0.00213221,-0.00173242,0.00133263,-0.146815,0.112934
0.0237,2,-0.00215031,-0.00174713,0.00134395,-0.147437,0.113413
0.0238,2,-0.0021685,-0.0017619,0.00135531,-0.148059,0.113892
0.0239,2,-0.00218676,-0.00177674,0.00136672,-0.148681,0.11437
0.024,2,-0.0022051,-0.00179164,0.00137818,-0.149303,0.114849
0.0241,2,-0.00222351,-0.0018066,0.00138969,-0.149925,0.115327
0.0242,2,-0.002242,-0.00182163,0.00140125,-0.150548,0.115806
0.0243,2,-0.00226057,-0.00183671,0.00141285,-0.15117,0.116284
0.0244,2,-0.00227921,-0.00185186,0.00142451,-0.151792,0.116763
0.0245,2,-0.00229793,-0.00186707,0.00143621,-0.152414,0.117241
0.0246,2,-0.00231673,-0.00188234,0.00144796,-0.153036,0.11772
0.0247,2,-0.0023356,-0.00189768,0.00145975,-0.153658,0.118198
0.0248,2,-0.00235455,-0.00191307,0.00147159,-0.15428,0.118677
0.0249,2,-0.00237358,-0.00192853,0.00148349,-0.154902,0.119155
0.025,2,-0.00239268,-0.00194405,0.00149543,-0.155524,0.119634
0.0251,2,-0.00241186,-0.00195964,0.00150741,-0.156146,0.120112
0.0252,2,-0.00243112,-0.00197528,0.00151945,-0.156768,0.120591
0.0253,2,-0.00245045,-0.00199099,0.00153153,-0.157391,0.12107
0.0254,2,-0.00246986,-0.00200676,0.00154366,-0.158013,0.121548
0.0255,2,-0.00248935,-0.00202259,0.00155584,-0.158635,0.122027
0.0256,2,-0.00250891,-0.00203849,0.00156807,-0.159257,0.122505
0.0257,2,-0.00252855,-0.00205445,0.00158034,-0.159879,0.122984
0.0258,2,-0.00254826,-0.00207046,0.00159266,-0.160501,0.123462
0.0259,2,-0.00256806,-0.00208655,0.00160503,-0.161123,0.123941
0.026,2,-0.00258792,-0.00210269,0.00161745,-0.161745,0.124419
0.0261,2,-0.00260787,-0.00211889,0.00162992,-0.162367,0.124898
0.0262,2,-0.00262789,-0.00213516,0.00164243,-0.162989,0.125376
0.0263,2,-0.00264799,-0.00215149,0.00165499,-0.163612,0.125855
0.0264,2,-0.00266817,-0.00216789,0.0016676,-0.164234,0.126333
0.0265,2,-0.00268842,-0.00218434,0.00168026,-0.164856,0.126812
0.0266,2,-0.00270875,-0.00220086,0.00169297,-0.165478,0.12729
0.0267,2,-0.00272915,-0.00221744,0.00170572,-0.1661,0.127769
0.0268,2,-0.00274963,-0.00223408,0.00171852,-0.166722,0.128248
0.0269,2,-0.00277019,-0.00225078,0.00173137,-0.167344,0.128726
0.027,2,-0.00279082,-0.00226755,0.00174426,-0.167966,0.129205
0.0271,2,-0.00281153,-0.00228437,0.00175721,-0.168588,0.129683
0.0272,2,-0.00283232,-0.00230126,0.0017702,-0.16921,0.130162
0.0273,2,-0.00285319,-0.00231821,0.00178324,-0.169832,0.13064
0.0274,2,-0.00287413,-0.00233523,0.00179633,-0.170455,0.131119
0.0275,2,-0.00289514,-0.00235231,0.00180946,-0.171077,0.131597
0.0276,2,-0.00291624,-0.00236944,0.00182265,-0.171699,0.132076
