t,th1,th2,dth1,dth2
0.0273,-0.00213644,0.00152875,-0.156515,0.111996
0.0274,-0.00215212,0.00153997,-0.157089,0.112407
0.0275,-0.00216785,0.00155123,-0.157662,0.112817
0.0276,-0.00218365,0.00156254,-0.158235,0.113227
0.0277,-0.0021995,0.00157388,-0.158809,0.113637
0.0278,-0.00221541,0.00158526,-0.159382,0.114048
0.0279,-0.00223138,0.00159669,-0.159955,0.114458
0.028,-0.0022474,0.00160815,-0.160529,0.114868
0.0281,-0.00226348,0.00161966,-0.161102,0.115278
0.0282,-0.00227962,0.00163121,-0.161675,0.115688
0.0283,-0.00229582,0.0016428,-0.162249,0.116099
0.0284,-0.00231207,0.00165443,-0.162822,0.116509
0.0285,-0.00232838,0.0016661,-0.163395,0.116919
0.0286,-0.00234475,0.00167781,-0.163969,0.117329
0.0287,-0.00236118,0.00168957,-0.164542,0.11774
0.0288,-0.00237766,0.00170136,-0.165115,0.11815
0.0289,-0.0023942,0.0017132,-0.165688,0.11856
0.029,-0.0024108,0.00172507,-0.166262,0.11897
0.0291,-0.00242745,0.00173699,-0.166835,0.119381
0.0292,-0.00244416,0.00174895,-0.167408,0.119791
0.0293,-0.00246093,0.00176095,-0.167982,0.120201
0.0294,-0.00247776,0.00177299,-0.168555,0.120611
0.0295,-0.00249465,0.00178507,-0.169128,0.121022
0.0296,-0.00251159,0.00179719,-0.169702,0.121432
0.0297,-0.00252859,0.00180936,-0.170275,0.121842
0.0298,-0.00254564,0.00182156,-0.170848,0.122252
0.0299,-0.00256276,0.00183381,-0.171422,0.122663
0.03,-0.00257993,0.0018461,-0.171995,0.123073
0.0301,-0.00259715,0.00185842,-0.172568,0.123483
0.0302,-0.00261444,0.00187079,-0.173142,0.123893
0.0303,-0.00263178,0.0018832,-0.173715,0.124303
0.0304,-0.00264918,0.00189565,-0.174288,0.124714
0.0305,-0.00266664,0.00190814,-0.174862,0.125124
0.0306,-0.00268415,0.00192068,-0.175435,0.125534
0.0307,-0.00270173,0.00193325,-0.176008,0.125944
0.0308,-0.00271936,0.00194587,-0.176581,0.126355
0.0309,-0.00273704,0.00195852,-0.177155,0.126765
0.031,-0.00275479,0.00197122,-0.177728,0.127175
0.0311,-0.00277259,0.00198396,-0.178301,0.127585
0.0312,-0.00279045,0.00199674,-0.178875,0.127996
0.0313,-0.00280836,0.00200956,-0.179448,0.128406
0.0314,-0.00282634,0.00202242,-0.180021,0.128816
0.0315,-0.00284437,0.00203532,-0.180595,0.129226
0.0316,-0.00286246,0.00204826,-0.181168,0.129637
0.0317,-0.0028806,0.00206125,-0.181741,0.130047
0.0318,-0.0028988,0.00207427,-0.182315,0.130457
0.0319,-0.00291706,0.00208734,-0.182888,0.130867
0.032,-0.00293538,0.00210045,-0.183461,0.131277
0.0321,-0.00295376,0.00211359,-0.184035,0.131688
0.0322,-0.00297219,0.00212678,-0.184608,0.132098
0.0323,-0.00299068,0.00214001,-0.185181,0.132508
0.0324,-0.00300923,0.00215328,-0.185754,0.132918
0.0325,-0.00302783,0.0021666,-0.186328,0.133329
0.0326,-0.00304649,0.00217995,-0.186901,0.133739
0.0327,-0.00306521,0.00219335,-0.187474,0.134149
0.0328,-0.00308399,0.00220678,-0.188048,0.134559
0.0329,-0.00310282,0.00222026,-0.188621,0.13497
0.033,-0.00312171,0.00223377,-0.189194,0.13538
0.0331,-0.00314066,0.00224733,-0.189768,0.13579
0.0332,-0.00315966,0.00226093,-0.190341,0.1362
0.0333,-0.00317873,0.00227457,-0.190914,0.136611
0.0334,-0.00319785,0.00228825,-0.191488,0.137021
0.0335,-0.00321702,0.00230198,-0.192061,0.137431
0.0336,-0.00323626,0.00231574,-0.192634,0.137841
0.0337,-0.00325555,0.00232955,-0.193208,0.138251
0.0338,-0.0032749,0.00234339,-0.193781,0.138662
0.0339,-0.00329431,0.00235728,-0.194354,0.139072
0.034,-0.00331377,0.00237121,-0.194927,0.139482
0.0341,-0.00333329,0.00238517,-0.195501,0.139892
0.0342,-0.00335287,0.00239918,-0.196074,0.140303
0.0343,-0.00337251,0.00241323,-0.196647,0.140713
0.0344,-0.0033922,0.00242733,-0.197221,0.141123
0.0345,-0.00341195,0.00244146,-0.197794,0.141533
0.0346,-0.00343176,0.00245563,-0.198367,0.141944
0.0347,-0.00345162,0.00246985,-0.198941,0.142354
0.0348,-0.00347155,0.0024841,-0.199514,0.142764
0.0349,-0.00349153,0.0024984,-0.200087,0.143174
0.035,-0.00351156,0.00251274,-0.200661,0.143584
0.0351,-0.00353166,0.00252712,-0.201234,0.143995
0.0352,-0.00355181,0.00254154,-0.201807,0.144405
0.0353,-0.00357202,0.002556,-0.202381,0.144815
0.0354,-0.00359229,0.0025705,-0.202954,0.145225
0.0355,-0.00361261,0.00258504,-0.203527,0.145636
0.0356,-0.00363299,0.00259963,-0.2041,0.146046
0.0357,-0.00365343,0.00261425,-0.204674,0.146456
0.0358,-0.00367393,0.00262892,-0.205247,0.146866
